IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.95.156,2086,false,SIN,Asia Pacific,Singapore,216 ms,5336 kB/s
47.237.0.31,2052,false,SIN,Asia Pacific,Singapore,246 ms,5326 kB/s
47.237.95.156,2082,false,SIN,Asia Pacific,Singapore,231 ms,5319 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,230 ms,5313 kB/s
8.219.106.156,8080,false,SIN,Asia Pacific,Singapore,232 ms,5305 kB/s
8.219.78.188,2082,false,SIN,Asia Pacific,Singapore,247 ms,5296 kB/s
8.222.208.38,2095,false,SIN,Asia Pacific,Singapore,225 ms,5292 kB/s
47.236.170.225,2082,false,SIN,Asia Pacific,Singapore,236 ms,5291 kB/s
47.236.169.15,2052,false,SIN,Asia Pacific,Singapore,228 ms,5275 kB/s
47.237.11.182,8880,false,SIN,Asia Pacific,Singapore,229 ms,5270 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,226 ms,5270 kB/s
47.236.121.23,80,false,SIN,Asia Pacific,Singapore,222 ms,5255 kB/s
47.237.0.31,2095,false,SIN,Asia Pacific,Singapore,245 ms,5245 kB/s
47.236.10.182,8080,false,SIN,Asia Pacific,Singapore,223 ms,5238 kB/s
8.219.67.133,8880,false,SIN,Asia Pacific,Singapore,228 ms,5232 kB/s
8.222.208.38,2082,false,SIN,Asia Pacific,Singapore,225 ms,5231 kB/s
8.219.87.30,2095,false,SIN,Asia Pacific,Singapore,219 ms,5211 kB/s
8.219.78.188,2052,false,SIN,Asia Pacific,Singapore,224 ms,5206 kB/s
47.237.81.112,8080,false,SIN,Asia Pacific,Singapore,222 ms,5204 kB/s
47.236.123.133,2082,false,SIN,Asia Pacific,Singapore,246 ms,5199 kB/s
8.219.78.188,8080,false,SIN,Asia Pacific,Singapore,242 ms,5191 kB/s
8.219.153.237,2082,false,NRT,Asia Pacific,Tokyo,291 ms,5180 kB/s
8.219.83.201,8880,false,SIN,Asia Pacific,Singapore,224 ms,5161 kB/s
47.236.83.239,8880,false,SIN,Asia Pacific,Singapore,225 ms,5161 kB/s
47.236.205.188,2052,false,SIN,Asia Pacific,Singapore,245 ms,5161 kB/s
47.236.104.11,2095,false,SIN,Asia Pacific,Singapore,231 ms,5159 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,225 ms,5157 kB/s
47.236.97.90,2086,false,SIN,Asia Pacific,Singapore,237 ms,5156 kB/s
8.219.124.227,2082,false,SIN,Asia Pacific,Singapore,228 ms,5146 kB/s
8.222.136.247,2086,false,SIN,Asia Pacific,Singapore,215 ms,5144 kB/s
47.237.95.140,2086,false,SIN,Asia Pacific,Singapore,231 ms,5124 kB/s
47.236.149.107,2095,false,SIN,Asia Pacific,Singapore,228 ms,5123 kB/s
8.219.106.156,2095,false,SIN,Asia Pacific,Singapore,225 ms,5121 kB/s
47.236.144.208,8880,false,SIN,Asia Pacific,Singapore,241 ms,5116 kB/s
8.222.144.50,2086,false,SIN,Asia Pacific,Singapore,229 ms,5107 kB/s
47.237.100.206,2082,false,SIN,Asia Pacific,Singapore,224 ms,5098 kB/s
47.236.117.48,2082,false,SIN,Asia Pacific,Singapore,228 ms,5096 kB/s
47.236.17.193,2052,false,SIN,Asia Pacific,Singapore,230 ms,5094 kB/s
47.236.80.110,2052,false,SIN,Asia Pacific,Singapore,219 ms,5071 kB/s
47.236.102.102,8880,false,SIN,Asia Pacific,Singapore,222 ms,5066 kB/s
8.219.67.133,2095,false,SIN,Asia Pacific,Singapore,225 ms,5064 kB/s
47.237.8.82,2052,false,SIN,Asia Pacific,Singapore,232 ms,5059 kB/s
47.236.9.152,2086,false,SIN,Asia Pacific,Singapore,240 ms,5057 kB/s
8.219.106.156,2086,false,SIN,Asia Pacific,Singapore,229 ms,5053 kB/s
47.236.146.249,80,false,SIN,Asia Pacific,Singapore,231 ms,5045 kB/s
47.236.158.158,8880,false,SIN,Asia Pacific,Singapore,236 ms,5044 kB/s
47.237.0.31,2086,false,SIN,Asia Pacific,Singapore,244 ms,5044 kB/s
8.222.144.50,80,false,SIN,Asia Pacific,Singapore,229 ms,5043 kB/s
47.237.84.173,2052,false,SIN,Asia Pacific,Singapore,230 ms,5042 kB/s
8.219.78.188,8880,false,SIN,Asia Pacific,Singapore,231 ms,5037 kB/s
47.237.95.146,2052,false,SIN,Asia Pacific,Singapore,225 ms,5035 kB/s
8.219.235.164,2082,false,SIN,Asia Pacific,Singapore,227 ms,5018 kB/s
47.236.117.48,2095,false,SIN,Asia Pacific,Singapore,246 ms,5013 kB/s
47.237.8.82,8880,false,SIN,Asia Pacific,Singapore,233 ms,5013 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,238 ms,5012 kB/s
47.236.83.239,2082,false,SIN,Asia Pacific,Singapore,223 ms,5012 kB/s
47.236.170.54,80,false,SIN,Asia Pacific,Singapore,224 ms,5010 kB/s
47.237.95.13,8880,false,SIN,Asia Pacific,Singapore,225 ms,5003 kB/s
47.236.144.48,8080,false,SIN,Asia Pacific,Singapore,252 ms,4997 kB/s
47.236.180.51,2082,false,SIN,Asia Pacific,Singapore,219 ms,4993 kB/s
47.236.145.85,2086,false,SIN,Asia Pacific,Singapore,251 ms,4990 kB/s
47.236.144.156,8880,false,SIN,Asia Pacific,Singapore,227 ms,4989 kB/s
47.236.97.90,2052,false,SIN,Asia Pacific,Singapore,234 ms,4988 kB/s
47.236.167.231,80,false,SIN,Asia Pacific,Singapore,234 ms,4986 kB/s
47.236.149.107,80,false,SIN,Asia Pacific,Singapore,239 ms,4985 kB/s
47.237.95.146,2095,false,SIN,Asia Pacific,Singapore,229 ms,4967 kB/s
47.237.82.15,8080,false,SIN,Asia Pacific,Singapore,231 ms,4965 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,221 ms,4962 kB/s
47.236.144.196,2082,false,SIN,Asia Pacific,Singapore,228 ms,4961 kB/s
47.236.5.223,2052,false,SIN,Asia Pacific,Singapore,230 ms,4958 kB/s
47.237.94.140,2082,false,SIN,Asia Pacific,Singapore,224 ms,4955 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,244 ms,4953 kB/s
47.237.92.26,2086,false,SIN,Asia Pacific,Singapore,219 ms,4952 kB/s
47.237.10.1,2095,false,SIN,Asia Pacific,Singapore,232 ms,4943 kB/s
47.237.84.173,8880,false,SIN,Asia Pacific,Singapore,223 ms,4927 kB/s
47.237.82.15,80,false,SIN,Asia Pacific,Singapore,226 ms,4927 kB/s
47.236.158.158,2095,false,SIN,Asia Pacific,Singapore,231 ms,4908 kB/s
47.236.10.182,2095,false,SIN,Asia Pacific,Singapore,228 ms,4890 kB/s
47.236.80.110,8880,false,SIN,Asia Pacific,Singapore,246 ms,4882 kB/s
47.236.167.231,2086,false,SIN,Asia Pacific,Singapore,233 ms,4881 kB/s
47.236.10.100,2086,false,SIN,Asia Pacific,Singapore,253 ms,4881 kB/s
47.237.95.140,2095,false,SIN,Asia Pacific,Singapore,231 ms,4871 kB/s
47.237.100.206,80,false,SIN,Asia Pacific,Singapore,247 ms,4869 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,227 ms,4867 kB/s
47.236.169.15,8880,false,SIN,Asia Pacific,Singapore,248 ms,4860 kB/s
8.219.66.156,8880,false,NRT,Asia Pacific,Tokyo,292 ms,4854 kB/s
47.237.8.82,2086,false,SIN,Asia Pacific,Singapore,243 ms,4842 kB/s
47.236.75.113,2052,false,SIN,Asia Pacific,Singapore,220 ms,4830 kB/s
47.236.104.11,2086,false,SIN,Asia Pacific,Singapore,233 ms,4829 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,223 ms,4812 kB/s
8.219.67.133,2082,false,SIN,Asia Pacific,Singapore,219 ms,4812 kB/s
47.237.11.182,2082,false,SIN,Asia Pacific,Singapore,235 ms,4808 kB/s
47.236.167.231,2095,false,SIN,Asia Pacific,Singapore,218 ms,4805 kB/s
47.236.169.164,2052,false,SIN,Asia Pacific,Singapore,236 ms,4805 kB/s
47.237.82.15,2086,false,SIN,Asia Pacific,Singapore,222 ms,4804 kB/s
47.237.92.26,2082,false,SIN,Asia Pacific,Singapore,229 ms,4802 kB/s
8.219.106.156,8880,false,SIN,Asia Pacific,Singapore,253 ms,4797 kB/s
47.236.97.90,8880,false,SIN,Asia Pacific,Singapore,253 ms,4796 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,221 ms,4790 kB/s
47.236.169.141,2086,false,SIN,Asia Pacific,Singapore,221 ms,4783 kB/s
47.236.83.239,80,false,SIN,Asia Pacific,Singapore,252 ms,4778 kB/s
47.237.95.13,2095,false,SIN,Asia Pacific,Singapore,227 ms,4776 kB/s
8.219.4.122,80,false,SIN,Asia Pacific,Singapore,221 ms,4771 kB/s
47.236.5.223,80,false,SIN,Asia Pacific,Singapore,235 ms,4767 kB/s
47.236.169.141,8880,false,SIN,Asia Pacific,Singapore,222 ms,4743 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,236 ms,4741 kB/s
47.236.10.182,2052,false,SIN,Asia Pacific,Singapore,232 ms,4736 kB/s
8.219.4.122,8880,false,SIN,Asia Pacific,Singapore,230 ms,4732 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,245 ms,4731 kB/s
47.236.158.158,2082,false,SIN,Asia Pacific,Singapore,241 ms,4719 kB/s
